count,city,number_of_veterans,male_population,foreign_born,average_household_size,median_age,state,race,total_population,state_code,female_population
4838,Santa Ana,4735,167503,152999,4.58,30.8,California,American Indian and Alaska Native,335423,CA,167920
13882,McKinney,8082,77339,25760,2.91,35.6,Texas,Asian,162887,TX,85548
789,Elgin,4024,54852,30167,2.969999999999999,35.7,Illinois,American Indian and Alaska Native,111076,IL,56224
196316,Atlanta,18572,223960,32016,2.15,33.8,Georgia,White,463875,GA,239915
1114,Johnson City,5038,31019,2878,2.18,38.2,Tennessee,Hispanic or Latino,65369,TN,34350
8839,Wyoming,3447,35967,8612,2.65,32.8,Michigan,Black or African-American,75277,MI,39310
53770,Bridgeport,4646,71509,44475,2.86,34.1,Connecticut,Black or African-American,147619,CT,76110
2534,Hampton,19638,66214,6204,2.48,35.5,Virginia,American Indian and Alaska Native,136454,VA,70240
5241,Tracy,3025,43156,25410,3.42,35.5,California,Black or African-American,87093,CA,43937
31725,Youngs,3620,30758,1058,2.22,37.5,Ohio,Black or African-American,64609,OH,33851
66970,Plantation,4037,42881,27902,2.73,40.6,Florida,White,92555,FL,49674
1513,Carlsbad,6031,55119,17689,2.68,42.1,California,American Indian and Alaska Native,113466,CA,58347
5840,Clifton,2603,41932,27979,3.11,38.5,New Jersey,Asian,86341,NJ,44409
18342,Orem,2828,48695,12808,3.26,26.1,Utah,Hispanic or Latino,94457,UT,45762
80811,Brandon,9417,55679,16390,2.64,36.1,Florida,White,113968,FL,58289
51493,Lexington-Fayette  county,16661,154032,28613,2.34,34.4,Kentucky,Black or African-American,314488,KY,160456
1416,Stamford,2269,64941,44003,2.7,35.4,Connecticut,American Indian and Alaska Native,128877,CT,63936
474,Glendale,4448,98181,111510,2.69,42.1,California,American Indian and Alaska Native,201025,CA,102844
1284,Santa Fe,5083,40601,13824,2.41,44.1,New Mexico,Black or African-American,84112,NM,43511
50895,Jacksonville,75432,419203,85650,2.62,35.7,Florida,Asian,868031,FL,448828
1571,Miami,7233,215840,260789,2.5,40.4,Florida,American Indian and Alaska Native,440989,FL,225149
13670,Sandy Springs,3015,48570,19837,2.4,35.4,Georgia,Hispanic or Latino,105347,GA,56777
4987,Edmond,5006,45191,5585,2.68,32.5,Oklahoma,Black or African-American,90090,OK,44899
9685,Nashua,5532,42926,12693,2.46,38.3,New Hampshire,Asian,87975,NH,45049
1065,Rialto,2036,49902,32741,3.83,31.6,California,American Indian and Alaska Native,103137,CA,53235
4791,Metairie,7187,69515,19871,2.39,41.6,Louisiana,Asian,146458,LA,76943
62954,Fort Lauderdale,8897,93948,47582,2.38,42.8,Florida,Black or African-American,178587,FL,84639
556,Boca Raton,4367,44760,21117,2.22,47.3,Florida,American Indian and Alaska Native,93226,FL,48466
1940,Rancho Cordova,4590,34844,17020,2.86,33.8,California,American Indian and Alaska Native,71026,CA,36182
151030,Saint Louis,17060,153026,21802,2.16,35.0,Missouri,Black or African-American,315685,MO,162659
3955,Raleigh,16747,219184,65125,2.42,32.8,North Carolina,American Indian and Alaska Native,451949,NC,232765
65333,Layton,3811,37748,4268,3.24,29.5,Utah,White,74142,UT,36394
5378,Warner Robins,6974,35093,3210,2.5,31.4,Georgia,Hispanic or Latino,74002,GA,38909
6752,Lafayette,5045,34313,5697,2.19,33.5,Indiana,Black or African-American,71170,IN,36857
170041,Brownsville,4211,87689,53301,3.48,30.6,Texas,Hispanic or Latino,183888,TX,96199
15790,Allen,3505,51324,19649,3.04,37.2,Texas,Asian,98138,TX,46814
881,Brockton,3036,46273,27313,2.88,35.2,Massachusetts,American Indian and Alaska Native,95314,MA,49041
3409,Fishers,2469,42161,6138,2.8,34.5,Indiana,Hispanic or Latino,86071,IN,43910
2032,Victoria,5000,32290,4480,2.7,35.8,Texas,Asian,67581,TX,35291
26353,Des Moines,11780,103726,23857,2.41,34.5,Iowa,Black or African-American,210317,IA,106591
2215,Pasco,2052,35298,16265,3.45,28.6,Washington,Asian,68097,WA,32799
1575,Santa Maria,2876,53320,39192,3.83,30.1,California,American Indian and Alaska Native,105082,CA,51762
12671,Bolingbrook,2951,36295,15212,3.42,33.7,Illinois,Black or African-American,72096,IL,35801
98243,Boulder,4061,56342,12993,2.24,29.0,Colorado,White,107342,CO,51000
3643,Bloomington,2368,40588,10033,2.33,23.5,Indiana,Hispanic or Latino,83815,IN,43227
20891,Palm Bay,10942,51767,12070,2.8200000000000003,40.7,Florida,Black or African-American,107895,FL,56128
234301,Henderson,25045,139412,35666,2.55,42.5,Nevada,White,285658,NV,146246
331,The Villages,15231,,4034,,70.5,Florida,Black or African-American,72590,FL,
6241,Oxnard,6367,101906,78678,4.08,31.0,California,American Indian and Alaska Native,207252,CA,105346
4851,West Valley City,4880,68235,30712,3.81,30.7,Utah,American Indian and Alaska Native,136224,UT,67989
5561,Appleton,4219,37217,4454,2.49,35.6,Wisconsin,Asian,75255,WI,38038
2788,Gastonia,3537,35527,5715,2.67,36.9,North Carolina,Asian,74550,NC,39023
138242,Raleigh,16747,219184,65125,2.42,32.8,North Carolina,Black or African-American,451949,NC,232765
3009,Casas Adobes,6601,30890,7024,2.24,44.8,Arizona,Asian,65265,AZ,34375
9801,Bloomington,2368,40588,10033,2.33,23.5,Indiana,Asian,83815,IN,43227
75686,Deltona,5664,44853,7098,2.89,39.9,Florida,White,88474,FL,43621
6603,Fayetteville,28089,101051,12863,2.5,30.7,North Carolina,American Indian and Alaska Native,201965,NC,100914
22522,New Braunfels,5204,33071,5405,2.85,37.0,Texas,Hispanic or Latino,69923,TX,36852
4181,North Charleston,9651,56549,8789,2.8200000000000003,30.7,South Carolina,Asian,111864,SC,55315
812,Carrollton,5720,66928,35327,2.7800000000000002,36.9,Texas,American Indian and Alaska Native,133146,TX,66218
7758,Woodbury,2732,31982,9477,2.719999999999999,37.7,Minnesota,Asian,67850,MN,35868
43684,Merced,3723,40048,16348,3.15,29.7,California,Hispanic or Latino,82440,CA,42392
2787,Greenville,4283,39897,4183,2.4,26.2,North Carolina,Asian,90588,NC,50691
2993,Fort Smith,3408,43346,13177,2.44,34.9,Arkansas,American Indian and Alaska Native,88195,AR,44849
5365,Salt Lake City,6829,98364,32166,2.38,32.1,Utah,Black or African-American,192660,UT,94296
1022,Westminster,3435,45538,42227,3.27,42.9,California,American Indian and Alaska Native,92111,CA,46573
17821,Columbia,6526,52202,23249,2.68,37.9,Maryland,Asian,103467,MD,51265
13981,Yonkers,4801,96580,61247,2.8,38.0,New York,Asian,201118,NY,104538
85130,Sandy,3451,46923,6691,3.22,34.6,Utah,White,93612,UT,46689
4281,Lincoln,14694,138544,22958,2.4,32.3,Nebraska,American Indian and Alaska Native,277346,NE,138802
19525,Bayonne,2225,32705,21899,2.62,39.7,New Jersey,Hispanic or Latino,66303,NJ,33598
48820,Homestead,2287,31401,24408,3.48,31.4,Florida,White,66500,FL,35099
564,Jackson,3529,30007,2097,2.52,35.3,Tennessee,American Indian and Alaska Native,66980,TN,36973
33900,Tucson,38182,264893,82220,2.45,33.6,Arizona,Black or African-American,531674,AZ,266781
65629,Waukegan,3404,45514,30997,2.92,32.3,Illinois,White,88347,IL,42833
4804,Topeka,9608,60879,6711,2.32,37.1,Kansas,American Indian and Alaska Native,127257,KS,66378
3929,Charleston,9368,63956,5767,2.4,35.0,South Carolina,Hispanic or Latino,135524,SC,71568
742,Camarillo,4384,31941,9735,2.77,40.8,California,American Indian and Alaska Native,67623,CA,35682
12975,North Charleston,9651,56549,8789,2.8200000000000003,30.7,South Carolina,Hispanic or Latino,111864,SC,55315
15277,Kirkland,5156,42159,18570,2.3,40.8,Washington,Asian,87267,WA,45108
4902,Richmond,12538,104793,15741,2.29,33.6,Virginia,American Indian and Alaska Native,220289,VA,115496
6348,Clarksville,20803,75029,8211,2.64,29.7,Tennessee,Asian,149190,TN,74161
61459,Franklin,3303,34991,6876,2.73,38.3,Tennessee,White,72635,TN,37644
85282,Lafayette,5206,64018,5396,2.54,31.7,Louisiana,White,127661,LA,63643
2960,Santa Fe,5083,40601,13824,2.41,44.1,New Mexico,American Indian and Alaska Native,84112,NM,43511
85606,Little Rock,12343,96997,16640,2.36,36.6,Arkansas,Black or African-American,197986,AR,100989
797,Elizabeth,1131,65896,63413,3.18,34.2,New Jersey,American Indian and Alaska Native,129012,NJ,63116
107893,Norfolk,29445,128917,16702,2.51,30.2,Virginia,Black or African-American,246393,VA,117476
77940,Augusta-Richmond County consolidated government,19085,94662,7915,2.67,33.7,Georgia,White,196579,GA,101917
25327,Springfield,7525,55639,4264,2.22,38.8,Illinois,Black or African-American,117809,IL,62170
3771,Plano,11719,138565,74030,2.65,38.1,Texas,American Indian and Alaska Native,283619,TX,145054
189347,Boston,18350,322149,190123,2.38,31.8,Massachusetts,Black or African-American,669469,MA,347320
48414,Johns Creek,1983,40282,29000,3.19,39.0,Georgia,White,83339,GA,43057
50652,Lynn,3093,44598,29899,2.81,34.8,Massachusetts,White,92459,MA,47861
1368,Tallahassee,9575,89390,16720,2.38,26.2,Florida,American Indian and Alaska Native,189894,FL,100504
9433,Cambridge,2495,55421,27757,2.06,31.5,Massachusetts,Hispanic or Latino,110402,MA,54981
4937,Skokie,1066,31382,27424,2.7800000000000002,43.4,Illinois,Black or African-American,64819,IL,33437
4205,Carmichael,4225,29281,7378,2.39,41.0,California,Asian,63215,CA,33934
20752,San Antonio,109089,721405,208046,2.93,33.1,Texas,American Indian and Alaska Native,1469824,TX,748419
3835726,New York,156961,4081698,3212500,2.68,36.0,New York,White,8550405,NY,4468707
34032,Simi Valley,6063,63243,23260,3.13,39.0,California,Hispanic or Latino,126766,CA,63523
87480,Winston-Salem,14521,112520,24302,2.47,34.7,North Carolina,Black or African-American,241232,NC,128712
28204,Rock Hill,4755,33324,2413,2.29,34.5,South Carolina,Black or African-American,71567,SC,38243
111477,Frisco,6297,73989,30913,3.05,37.2,Texas,White,154388,TX,80399
9869,Modesto,9855,104852,39613,2.969999999999999,35.2,California,Black or African-American,211257,CA,106405
47099,Dallas,41026,639019,326825,2.59,32.6,Texas,Asian,1300082,TX,661063
151686,Springfield,12291,81057,7765,2.12,34.1,Missouri,White,166798,MO,85741
5750,Portland,3666,31480,9229,2.13,40.3,Maine,Black or African-American,66872,ME,35392
56282,Baldwin Park,780,38747,34322,4.13,35.8,California,Hispanic or Latino,77056,CA,38309
832,Laredo,4921,124305,68427,3.66,28.8,Texas,Black or African-American,255789,TX,131484
2131,Hesperia,3739,43588,16667,3.52,29.4,California,Asian,93286,CA,49698
1053,East Los Angeles,1101,60460,49575,3.75,32.6,California,Asian,119666,CA,59206
1752,Cary,7426,78932,30008,2.61,39.9,North Carolina,American Indian and Alaska Native,160514,NC,81582
680,Whittier,2790,44397,17145,3.11,36.1,California,American Indian and Alaska Native,87436,CA,43039
876,Parma,5028,38425,6909,2.42,40.8,Ohio,American Indian and Alaska Native,79943,OH,41518
52612,Eagan,2699,31587,8642,2.49,36.8,Minnesota,White,66288,MN,34701
2662,Lauderhill,1965,32813,25471,3.02,35.7,Florida,Asian,71574,FL,38761
57089,Pine Hills,2594,35344,20735,3.3,29.2,Florida,Black or African-American,76081,FL,40737
156071,Huntington Beach,10454,99967,35368,2.67,41.6,California,White,201927,CA,101960
86456,Elizabeth,1131,65896,63413,3.18,34.2,New Jersey,Hispanic or Latino,129012,NJ,63116
77178,Carmel,2723,42928,9645,2.71,39.9,Indiana,White,89029,IN,46101
180241,Bakersfield,12284,182154,71575,3.23,30.6,California,Hispanic or Latino,373627,CA,191473
2325,Bellingham,4703,41286,8713,2.44,30.7,Washington,Black or African-American,85143,WA,43857
75688,Lansing,5327,54333,8371,2.39,31.4,Michigan,White,114110,MI,59777
11697,Waukegan,3404,45514,30997,2.92,32.3,Illinois,Black or African-American,88347,IL,42833
2639,Saint Cloud,5012,34311,5757,2.41,30.7,Minnesota,Hispanic or Latino,68253,MN,33942
40980,Delray Beach,4232,32219,16639,2.35,47.9,Florida,White,66261,FL,34042
8090,Albany,3643,47627,11948,2.08,32.8,New York,Asian,98452,NY,50825
2485125,New York,156961,4081698,3212500,2.68,36.0,New York,Hispanic or Latino,8550405,NY,4468707
34583,Athens-Clarke County unified government,3953,57415,12868,2.44,26.5,Georgia,Black or African-American,122563,GA,65148
1219,Camarillo,4384,31941,9735,2.77,40.8,California,Black or African-American,67623,CA,35682
166618,Modesto,9855,104852,39613,2.969999999999999,35.2,California,White,211257,CA,106405
39226,West Palm Beach,4917,49262,30675,2.5300000000000002,39.6,Florida,Black or African-American,106782,FL,57520
54885,Paterson,1694,70640,49810,3.37,34.0,New Jersey,White,147757,NJ,77117
14249,Clovis,6173,52392,13409,2.76,37.8,California,Asian,104172,CA,51780
61974,Seattle,29364,345659,119840,2.13,35.5,Washington,Black or African-American,684443,WA,338784
73440,Livermore,3063,41522,13959,2.91,36.7,California,White,88117,CA,46595
4171,Providence,4933,89090,53532,2.719999999999999,29.9,Rhode Island,American Indian and Alaska Native,179204,RI,90114
61918,Daly City,3782,53817,56640,3.26,39.7,California,Asian,106574,CA,52757
1149,Missoula,4733,35002,2771,2.15,34.7,Montana,Black or African-American,71024,MT,36022
32716,West Covina,3800,51629,37038,3.56,39.8,California,Asian,108489,CA,56860
39107,Suffolk,10114,43048,2829,2.719999999999999,38.2,Virginia,Black or African-American,88161,VA,45113
64223,Omaha,24503,218789,48263,2.47,34.2,Nebraska,Black or African-American,443887,NE,225098
1677,Troy,2975,42371,21004,2.59,43.3,Michigan,American Indian and Alaska Native,83276,MI,40905
2925,Newton,1814,41985,21692,2.71,42.3,Massachusetts,Black or African-American,88809,MA,46824
12370,El Paso,47693,332797,159709,3.03,33.1,Texas,Asian,681136,TX,348339
66004,Fort Smith,3408,43346,13177,2.44,34.9,Arkansas,White,88195,AR,44849
726,Riverview,6943,44210,12240,3.22,32.2,Florida,American Indian and Alaska Native,89746,FL,45536
67844,Norwalk,2877,40880,22328,2.7,42.4,Connecticut,White,88483,CT,47603
22550,Renton,5032,52779,28962,2.5700000000000003,36.3,Washington,Asian,100247,WA,47468
906,Hawthorne,2123,43682,32107,2.969999999999999,33.7,California,American Indian and Alaska Native,88444,CA,44762
35311,Davie,4655,48754,26532,2.719999999999999,40.8,Florida,Hispanic or Latino,100894,FL,52140
20811,Alhambra,1673,42184,44441,2.89,41.0,California,White,85572,CA,43388
34409,Victoria,5000,32290,4480,2.7,35.8,Texas,Hispanic or Latino,67581,TX,35291
55959,Hartford,3130,58042,28467,2.59,31.0,Connecticut,Hispanic or Latino,124014,CT,65972
